,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
7,Changi,2017,6,8,0.0,0.0,0.0,0.0,29.5,32.7,28.0,14.0,29.2
8,Changi,2017,6,9,0.0,0.0,0.0,0.0,29.6,32.6,27.6,13.3,30.6
9,Changi,2017,6,10,0.0,0.0,0.0,0.0,29.0,32.7,26.6,10.4,32.4
10,Changi,2017,6,11,0.2,0.2,0.2,0.2,28.1,30.8,25.8,7.6,29.9
11,Changi,2017,6,12,0.0,0.0,0.0,0.0,29.3,32.1,27.0,9.4,25.9
12,Changi,2017,6,13,0.2,0.2,0.2,0.2,29.1,31.9,25.4,11.9,39.6
13,Changi,2017,6,14,0.0,0.0,0.0,0.0,28.2,32.7,26.3,7.2,38.9
14,Changi,2017,6,15,0.0,0.0,0.0,0.0,29.1,32.8,26.9,8.6,31.0
15,Changi,2017,6,16,8.0,7.2,8.0,8.0,28.2,31.9,25.7,8.6,32.0
16,Changi,2017,6,17,0.0,0.0,0.0,0.0,29.0,33.0,26.2,7.9,26.6
17,Changi,2017,6,18,13.8,9.4,10.2,10.8,27.1,30.5,24.1,6.5,31.3
18,Changi,2017,6,19,0.0,0.0,0.0,0.0,27.8,30.5,24.7,8.3,31.0
19,Changi,2017,6,20,0.0,0.0,0.0,0.0,28.9,32.3,25.8,6.5,25.6
20,Changi,2017,6,21,20.2,19.4,20.0,20.2,28.2,31.6,23.0,6.8,24.8
21,Changi,2017,6,22,0.0,0.0,0.0,0.0,28.5,30.7,26.4,7.2,32.4
22,Changi,2017,6,23,29.6,20.0,26.8,28.2,26.5,28.5,22.2,6.5,57.6
23,Changi,2017,6,24,0.0,0.0,0.0,0.0,28.1,31.2,24.7,6.8,24.8
24,Changi,2017,6,25,22.8,13.6,20.2,22.8,27.3,30.2,23.5,5.8,34.9
25,Changi,2017,6,26,1.6,1.6,1.6,1.6,27.9,31.5,25.1,7.2,22.3
26,Changi,2017,6,27,1.4,0.4,0.6,1.0,25.9,27.8,24.1,5.4,24.8
27,Changi,2017,6,28,0.0,0.0,0.0,0.0,27.6,32.0,25.1,6.1,28.8
28,Changi,2017,6,29,0.0,0.0,0.0,0.0,27.9,30.6,26.2,6.5,30.6
29,Changi,2017,6,30,0.0,0.0,0.0,0.0,28.5,31.5,26.1,8.6,27.4
